InvoiceNo,PO_No,InvoiceSubTotal,InvoiceTax,InvoiceTotal,PO_Amount,ExpectedDate,PaymentDueDate,VendorName,Invoice_LineItems,PO_LineItems,IsFraud
INV-100012,PO-200012,849.2,0.06,939.85,939.85,2025-08-05 04:03:25.026302,2025-09-04 04:03:25.026302,Vendor_1,ItemList,POList,1
INV-100013,PO-200013,291.11,0.08,314.4,314.4,2025-08-20 04:03:25.026308,2025-09-19 04:03:25.026308,Vendor_3,ItemList,POList,0
INV-100014,PO-200014,263.64,0.08,321.8,321.8,2025-08-31 04:03:25.026313,2025-09-30 04:03:25.026313,Vendor_7,ItemList,POList,1
INV-100015,PO-200015,265.06,0.14,326.92,326.92,2025-08-28 04:03:25.026318,2025-09-27 04:03:25.026318,Vendor_8,ItemList,POList,1
INV-100016,PO-200016,373.82,0.12,418.68,418.68,2025-08-27 04:03:25.026324,2025-09-26 04:03:25.026324,Vendor_17,ItemList,POList,0
INV-100017,PO-200017,572.28,0.15,680.27,680.27,2025-08-10 04:03:25.026329,2025-09-09 04:03:25.026329,Vendor_20,ItemList,POList,1
INV-100018,PO-200018,488.75,0.11,587.17,587.17,2025-08-31 04:03:25.026335,2025-09-30 04:03:25.026335,Vendor_1,ItemList,POList,1
INV-100019,PO-200019,362.11,0.07,387.46,387.46,2025-08-19 04:03:25.026340,2025-09-18 04:03:25.026340,Vendor_18,ItemList,POList,0
INV-100020,PO-200020,650.67,0.08,702.72,702.72,2025-08-19 04:03:25.026346,2025-09-18 04:03:25.026346,Vendor_7,ItemList,POList,0
INV-100021,PO-200021,225.54,0.08,257.8,257.8,2025-08-07 04:03:25.026352,2025-09-06 04:03:25.026352,Vendor_18,ItemList,POList,1
INV-100022,PO-200022,362.93,0.08,391.96,391.96,2025-08-08 04:03:25.026357,2025-09-07 04:03:25.026357,Vendor_14,ItemList,POList,0
INV-100023,PO-200023,429.73,0.12,481.3,481.3,2025-08-28 04:03:25.026363,2025-09-27 04:03:25.026363,Vendor_8,ItemList,POList,0
INV-100024,PO-200024,510.46,0.1,561.51,561.51,2025-08-21 04:03:25.026369,2025-09-20 04:03:25.026369,Vendor_15,ItemList,POList,0
INV-100025,PO-200025,806.66,0.09,879.26,879.26,2025-08-17 04:03:25.026374,2025-09-16 04:03:25.026374,Vendor_19,ItemList,POList,0
INV-100026,PO-200026,279.71,0.06,315.83,315.83,2025-08-06 04:03:25.026380,2025-09-05 04:03:25.026380,Vendor_9,ItemList,POList,1
INV-100027,PO-200027,562.81,0.05,590.95,590.95,2025-09-03 04:03:25.026385,2025-10-03 04:03:25.026385,Vendor_1,ItemList,POList,0
INV-100028,PO-200028,633.17,0.07,677.49,677.49,2025-08-05 04:03:25.026390,2025-09-04 04:03:25.026390,Vendor_6,ItemList,POList,0
INV-100029,PO-200029,141.81,0.06,150.32,150.32,2025-08-24 04:03:25.026395,2025-09-23 04:03:25.026395,Vendor_14,ItemList,POList,0
INV-100030,PO-200030,646.79,0.13,730.87,730.87,2025-08-10 04:03:25.026401,2025-09-09 04:03:25.026401,Vendor_11,ItemList,POList,0
INV-100031,PO-200031,253.47,0.06,268.68,268.68,2025-08-09 04:03:25.026406,2025-09-08 04:03:25.026406,Vendor_9,ItemList,POList,0
INV-100032,PO-200032,158.55,0.12,177.58,177.58,2025-09-02 04:03:25.026412,2025-10-02 04:03:25.026412,Vendor_5,ItemList,POList,0
INV-100033,PO-200033,954.0,0.09,1039.86,1039.86,2025-08-10 04:03:25.026417,2025-09-09 04:03:25.026417,Vendor_7,ItemList,POList,0
INV-100034,PO-200034,969.07,0.06,1027.21,1027.21,2025-08-22 04:03:25.026442,2025-09-21 04:03:25.026442,Vendor_11,ItemList,POList,0
INV-100035,PO-200035,827.56,0.13,935.14,935.14,2025-08-25 04:03:25.026447,2025-09-24 04:03:25.026447,Vendor_4,ItemList,POList,0
INV-100036,PO-200036,374.15,0.11,415.31,415.31,2025-08-05 04:03:25.026453,2025-09-04 04:03:25.026453,Vendor_3,ItemList,POList,0
INV-100037,PO-200037,187.9,0.07,201.05,201.05,2025-08-17 04:03:25.026458,2025-09-16 04:03:25.026458,Vendor_13,ItemList,POList,0
INV-100038,PO-200038,715.81,0.14,864.88,864.88,2025-08-10 04:03:25.026463,2025-09-09 04:03:25.026463,Vendor_4,ItemList,POList,1
INV-100039,PO-200039,496.14,0.05,520.95,520.95,2025-08-24 04:03:25.026469,2025-09-23 04:03:25.026469,Vendor_12,ItemList,POList,0
INV-100040,PO-200040,209.83,0.07,242.0,242.0,2025-09-02 04:03:25.026474,2025-10-02 04:03:25.026474,Vendor_12,ItemList,POList,1
INV-100041,PO-200041,545.66,0.13,660.86,660.86,2025-08-16 04:03:25.026481,2025-09-15 04:03:25.026481,Vendor_20,ItemList,POList,1
INV-100042,PO-200042,130.95,0.12,168.38,168.38,2025-09-02 04:03:25.026487,2025-10-02 04:03:25.026487,Vendor_9,ItemList,POList,1
INV-100043,PO-200043,918.39,0.08,991.86,991.86,2025-08-14 04:03:25.026492,2025-09-13 04:03:25.026492,Vendor_2,ItemList,POList,0
INV-100044,PO-200044,332.9,0.06,382.68,382.68,2025-08-29 04:03:25.026498,2025-09-28 04:03:25.026498,Vendor_15,ItemList,POList,1
INV-100045,PO-200045,696.27,0.14,793.75,793.75,2025-09-01 04:03:25.026503,2025-10-01 04:03:25.026503,Vendor_18,ItemList,POList,0
INV-100046,PO-200046,380.54,0.08,410.98,410.98,2025-09-02 04:03:25.026508,2025-10-02 04:03:25.026508,Vendor_4,ItemList,POList,0
INV-100047,PO-200047,568.06,0.07,607.82,607.82,2025-08-23 04:03:25.026514,2025-09-22 04:03:25.026514,Vendor_13,ItemList,POList,0
INV-100048,PO-200048,592.04,0.1,651.24,651.24,2025-08-07 04:03:25.026519,2025-09-06 04:03:25.026519,Vendor_3,ItemList,POList,0
INV-100049,PO-200049,266.37,0.14,326.59,326.59,2025-08-19 04:03:25.026524,2025-09-18 04:03:25.026524,Vendor_18,ItemList,POList,1
INV-100050,PO-200050,972.63,0.05,1036.22,1036.22,2025-08-29 04:03:25.026530,2025-09-28 04:03:25.026530,Vendor_10,ItemList,POList,1
INV-100051,PO-200051,797.62,0.13,901.31,901.31,2025-08-18 04:03:25.026535,2025-09-17 04:03:25.026535,Vendor_20,ItemList,POList,0
INV-100052,PO-200052,945.55,0.11,1049.56,1049.56,2025-08-08 04:03:25.026541,2025-09-07 04:03:25.026541,Vendor_12,ItemList,POList,0
INV-100053,PO-200053,905.34,0.09,986.82,986.82,2025-08-11 04:03:25.026547,2025-09-10 04:03:25.026547,Vendor_19,ItemList,POList,0
INV-100054,PO-200054,638.11,0.12,714.68,714.68,2025-08-14 04:03:25.026552,2025-09-13 04:03:25.026552,Vendor_7,ItemList,POList,0
INV-100055,PO-200055,929.69,0.15,1069.14,1069.14,2025-08-18 04:03:25.026558,2025-09-17 04:03:25.026558,Vendor_3,ItemList,POList,0
INV-100056,PO-200056,179.64,0.07,228.31,228.31,2025-08-06 04:03:25.026563,2025-09-05 04:03:25.026563,Vendor_2,ItemList,POList,1
INV-100057,PO-200057,276.38,0.06,341.46,341.46,2025-08-05 04:03:25.026568,2025-09-04 04:03:25.026568,Vendor_8,ItemList,POList,1
INV-100058,PO-200058,140.7,0.14,160.4,160.4,2025-08-30 04:03:25.026574,2025-09-29 04:03:25.026574,Vendor_10,ItemList,POList,0
INV-100059,PO-200059,392.8,0.12,439.94,439.94,2025-08-20 04:03:25.026579,2025-09-19 04:03:25.026579,Vendor_3,ItemList,POList,0
INV-100060,PO-200060,449.81,0.09,490.29,490.29,2025-08-20 04:03:25.026584,2025-09-19 04:03:25.026584,Vendor_8,ItemList,POList,0
INV-100061,PO-200061,344.21,0.11,382.07,382.07,2025-08-17 04:03:25.026602,2025-09-16 04:03:25.026602,Vendor_4,ItemList,POList,0
INV-100062,PO-200062,845.86,0.12,947.36,947.36,2025-09-03 04:03:25.026607,2025-10-03 04:03:25.026607,Vendor_13,ItemList,POList,0
INV-100063,PO-200063,421.08,0.13,475.82,475.82,2025-08-05 04:03:25.026613,2025-09-04 04:03:25.026613,Vendor_9,ItemList,POList,0
INV-100064,PO-200064,352.84,0.14,447.41,447.41,2025-08-10 04:03:25.026618,2025-09-09 04:03:25.026618,Vendor_15,ItemList,POList,1
INV-100065,PO-200065,588.43,0.09,641.39,641.39,2025-08-08 04:03:25.026623,2025-09-07 04:03:25.026623,Vendor_12,ItemList,POList,0
INV-100066,PO-200066,226.83,0.08,244.98,244.98,2025-08-06 04:03:25.026629,2025-09-05 04:03:25.026629,Vendor_6,ItemList,POList,0
INV-100067,PO-200067,821.98,0.11,961.74,961.74,2025-09-02 04:03:25.026634,2025-10-02 04:03:25.026634,Vendor_12,ItemList,POList,1
INV-100068,PO-200068,167.1,0.09,218.24,218.24,2025-08-11 04:03:25.026640,2025-09-10 04:03:25.026640,Vendor_12,ItemList,POList,1
INV-100069,PO-200069,988.2,0.11,1096.9,1096.9,2025-08-28 04:03:25.026645,2025-09-27 04:03:25.026645,Vendor_7,ItemList,POList,0
INV-100070,PO-200070,795.02,0.09,873.12,873.12,2025-09-03 04:03:25.026650,2025-10-03 04:03:25.026650,Vendor_9,ItemList,POList,1
INV-100071,PO-200071,278.84,0.07,298.36,298.36,2025-08-18 04:03:25.026656,2025-09-17 04:03:25.026656,Vendor_3,ItemList,POList,0
INV-100072,PO-200072,104.97,0.1,115.47,115.47,2025-08-27 04:03:25.026661,2025-09-26 04:03:25.026661,Vendor_20,ItemList,POList,0
INV-100073,PO-200073,833.92,0.12,933.99,933.99,2025-08-30 04:03:25.026670,2025-09-29 04:03:25.026670,Vendor_6,ItemList,POList,0
INV-100074,PO-200074,736.17,0.13,861.81,861.81,2025-08-29 04:03:25.026679,2025-09-28 04:03:25.026679,Vendor_18,ItemList,POList,1
INV-100075,PO-200075,756.11,0.1,831.72,831.72,2025-08-05 04:03:25.026687,2025-09-04 04:03:25.026687,Vendor_8,ItemList,POList,0
INV-100076,PO-200076,794.14,0.07,849.73,849.73,2025-08-14 04:03:25.026696,2025-09-13 04:03:25.026696,Vendor_6,ItemList,POList,0
INV-100077,PO-200077,166.64,0.09,214.65,214.65,2025-08-10 04:03:25.026703,2025-09-09 04:03:25.026703,Vendor_15,ItemList,POList,1
INV-100078,PO-200078,422.62,0.13,477.56,477.56,2025-08-12 04:03:25.026708,2025-09-11 04:03:25.026708,Vendor_13,ItemList,POList,0
INV-100079,PO-200079,204.28,0.09,233.07,233.07,2025-08-13 04:03:25.026716,2025-09-12 04:03:25.026716,Vendor_9,ItemList,POList,1
INV-100080,PO-200080,876.79,0.12,982.0,982.0,2025-08-15 04:03:25.026725,2025-09-14 04:03:25.026725,Vendor_18,ItemList,POList,0
INV-100081,PO-200081,660.97,0.1,769.35,769.35,2025-08-28 04:03:25.026734,2025-09-27 04:03:25.026734,Vendor_8,ItemList,POList,1
INV-100082,PO-200082,397.81,0.07,425.66,425.66,2025-08-10 04:03:25.026743,2025-09-09 04:03:25.026743,Vendor_11,ItemList,POList,0
INV-100083,PO-200083,157.2,0.13,215.49,215.49,2025-08-12 04:03:25.026752,2025-09-11 04:03:25.026752,Vendor_2,ItemList,POList,1
INV-100084,PO-200084,379.88,0.06,427.85,427.85,2025-08-28 04:03:25.026759,2025-09-27 04:03:25.026759,Vendor_8,ItemList,POList,1
INV-100085,PO-200085,392.66,0.1,450.07,450.07,2025-08-20 04:03:25.026768,2025-09-19 04:03:25.026768,Vendor_2,ItemList,POList,1
INV-100086,PO-200086,756.65,0.07,824.6,824.6,2025-08-21 04:03:25.026777,2025-09-20 04:03:25.026777,Vendor_11,ItemList,POList,1
INV-100087,PO-200087,673.8,0.06,762.63,762.63,2025-08-28 04:03:25.026783,2025-09-27 04:03:25.026783,Vendor_13,ItemList,POList,1
INV-100088,PO-200088,898.49,0.1,988.34,988.34,2025-08-11 04:03:25.026789,2025-09-10 04:03:25.026789,Vendor_9,ItemList,POList,0
INV-100089,PO-200089,524.99,0.1,577.49,577.49,2025-08-12 04:03:25.026794,2025-09-11 04:03:25.026794,Vendor_3,ItemList,POList,0
INV-100090,PO-200090,207.63,0.12,273.64,273.64,2025-08-12 04:03:25.026799,2025-09-11 04:03:25.026799,Vendor_7,ItemList,POList,1
INV-100091,PO-200091,741.92,0.12,867.15,867.15,2025-09-01 04:03:25.026805,2025-10-01 04:03:25.026805,Vendor_19,ItemList,POList,1
INV-100092,PO-200092,784.71,0.12,878.88,878.88,2025-08-30 04:03:25.026810,2025-09-29 04:03:25.026810,Vendor_11,ItemList,POList,0
INV-100093,PO-200093,605.15,0.09,659.61,659.61,2025-09-03 04:03:25.026816,2025-10-03 04:03:25.026816,Vendor_7,ItemList,POList,0
INV-100094,PO-200094,793.87,0.11,881.2,881.2,2025-08-31 04:03:25.026821,2025-09-30 04:03:25.026821,Vendor_16,ItemList,POList,0
INV-100095,PO-200095,544.42,0.11,651.98,651.98,2025-08-14 04:03:25.026827,2025-09-13 04:03:25.026827,Vendor_13,ItemList,POList,1
INV-100096,PO-200096,570.46,0.09,621.8,621.8,2025-08-26 04:03:25.026832,2025-09-25 04:03:25.026832,Vendor_15,ItemList,POList,0
INV-100097,PO-200097,484.79,0.11,552.27,552.27,2025-08-13 04:03:25.026837,2025-09-12 04:03:25.026837,Vendor_5,ItemList,POList,1
INV-100098,PO-200098,122.88,0.14,140.08,140.08,2025-08-23 04:03:25.026842,2025-09-22 04:03:25.026842,Vendor_9,ItemList,POList,0
INV-100099,PO-200099,197.1,0.07,254.49,254.49,2025-08-14 04:03:25.026848,2025-09-13 04:03:25.026848,Vendor_5,ItemList,POList,1
INV-100100,PO-200100,128.29,0.14,146.25,146.25,2025-08-21 04:03:25.026853,2025-09-20 04:03:25.026853,Vendor_8,ItemList,POList,0
INV-100101,PO-200101,672.77,0.06,713.14,713.14,2025-09-03 04:03:25.026858,2025-10-03 04:03:25.026858,Vendor_18,ItemList,POList,0
INV-100102,PO-200102,382.92,0.08,444.81,444.81,2025-08-13 04:03:25.026863,2025-09-12 04:03:25.026863,Vendor_18,ItemList,POList,1
INV-100103,PO-200103,557.71,0.08,649.31,649.31,2025-08-18 04:03:25.026869,2025-09-17 04:03:25.026869,Vendor_9,ItemList,POList,1
INV-100104,PO-200104,916.81,0.11,1017.66,1017.66,2025-08-30 04:03:25.026874,2025-09-29 04:03:25.026874,Vendor_19,ItemList,POList,0
INV-100105,PO-200105,324.36,0.06,343.82,343.82,2025-09-03 04:03:25.026879,2025-10-03 04:03:25.026879,Vendor_14,ItemList,POList,0
INV-100106,PO-200106,469.34,0.14,535.05,535.05,2025-08-30 04:03:25.026885,2025-09-29 04:03:25.026885,Vendor_19,ItemList,POList,0
INV-100107,PO-200107,780.0,0.13,881.4,881.4,2025-08-06 04:03:25.026890,2025-09-05 04:03:25.026890,Vendor_13,ItemList,POList,0
INV-100108,PO-200108,305.92,0.12,342.63,342.63,2025-08-07 04:03:25.026895,2025-09-06 04:03:25.026895,Vendor_12,ItemList,POList,0
INV-100109,PO-200109,169.28,0.1,220.94,220.94,2025-08-31 04:03:25.026915,2025-09-30 04:03:25.026915,Vendor_8,ItemList,POList,1
INV-100110,PO-200110,360.78,0.14,411.29,411.29,2025-08-24 04:03:25.026926,2025-09-23 04:03:25.026926,Vendor_5,ItemList,POList,0
INV-100111,PO-200111,245.1,0.13,276.96,276.96,2025-08-28 04:03:25.026935,2025-09-27 04:03:25.026935,Vendor_17,ItemList,POList,0
INV-100112,PO-200112,936.73,0.1,1030.4,1030.4,2025-08-31 04:03:25.026941,2025-09-30 04:03:25.026941,Vendor_16,ItemList,POList,0
INV-100113,PO-200113,827.31,0.12,926.59,926.59,2025-08-13 04:03:25.026946,2025-09-12 04:03:25.026946,Vendor_3,ItemList,POList,0
INV-100114,PO-200114,670.06,0.11,743.77,743.77,2025-08-23 04:03:25.026951,2025-09-22 04:03:25.026951,Vendor_2,ItemList,POList,0
INV-100115,PO-200115,884.31,0.11,981.58,981.58,2025-08-22 04:03:25.026956,2025-09-21 04:03:25.026956,Vendor_4,ItemList,POList,0
INV-100116,PO-200116,823.3,0.08,927.53,927.53,2025-08-22 04:03:25.026961,2025-09-21 04:03:25.026961,Vendor_5,ItemList,POList,1
INV-100117,PO-200117,267.91,0.1,309.7,309.7,2025-08-15 04:03:25.026967,2025-09-14 04:03:25.026967,Vendor_6,ItemList,POList,1
INV-100118,PO-200118,903.3,0.06,957.5,957.5,2025-08-13 04:03:25.026972,2025-09-12 04:03:25.026972,Vendor_14,ItemList,POList,0
INV-100119,PO-200119,585.41,0.09,638.1,638.1,2025-08-16 04:03:25.026977,2025-09-15 04:03:25.026977,Vendor_20,ItemList,POList,0
INV-100120,PO-200120,826.7,0.12,925.9,925.9,2025-08-12 04:03:25.026982,2025-09-11 04:03:25.026982,Vendor_3,ItemList,POList,0
INV-100121,PO-200121,906.48,0.15,1042.45,1042.45,2025-08-22 04:03:25.026987,2025-09-21 04:03:25.026987,Vendor_13,ItemList,POList,0
INV-100122,PO-200122,386.2,0.15,464.65,464.65,2025-09-02 04:03:25.026992,2025-10-02 04:03:25.026992,Vendor_13,ItemList,POList,1
INV-100123,PO-200123,199.05,0.11,220.95,220.95,2025-08-12 04:03:25.026998,2025-09-11 04:03:25.026998,Vendor_20,ItemList,POList,0
INV-100124,PO-200124,305.14,0.11,357.31,357.31,2025-08-08 04:03:25.027003,2025-09-07 04:03:25.027003,Vendor_15,ItemList,POList,1
INV-100125,PO-200125,484.4,0.07,554.54,554.54,2025-08-10 04:03:25.027009,2025-09-09 04:03:25.027009,Vendor_17,ItemList,POList,1
INV-100126,PO-200126,836.21,0.12,960.06,960.06,2025-08-25 04:03:25.027014,2025-09-24 04:03:25.027014,Vendor_9,ItemList,POList,1
INV-100127,PO-200127,874.66,0.06,970.84,970.84,2025-08-20 04:03:25.027020,2025-09-19 04:03:25.027020,Vendor_18,ItemList,POList,1
INV-100128,PO-200128,106.26,0.08,114.76,114.76,2025-08-25 04:03:25.027025,2025-09-24 04:03:25.027025,Vendor_1,ItemList,POList,0
INV-100129,PO-200129,559.67,0.12,626.83,626.83,2025-08-17 04:03:25.027032,2025-09-16 04:03:25.027032,Vendor_4,ItemList,POList,0
INV-100130,PO-200130,475.67,0.08,528.29,528.29,2025-08-30 04:03:25.027037,2025-09-29 04:03:25.027037,Vendor_18,ItemList,POList,1
INV-100131,PO-200131,299.9,0.05,355.7,355.7,2025-08-20 04:03:25.027042,2025-09-19 04:03:25.027042,Vendor_9,ItemList,POList,1
INV-100132,PO-200132,207.88,0.13,234.9,234.9,2025-08-30 04:03:25.027047,2025-09-29 04:03:25.027047,Vendor_11,ItemList,POList,0
INV-100133,PO-200133,403.85,0.08,436.16,436.16,2025-08-27 04:03:25.027052,2025-09-26 04:03:25.027052,Vendor_4,ItemList,POList,0
INV-100134,PO-200134,948.62,0.06,1047.13,1047.13,2025-08-28 04:03:25.027058,2025-09-27 04:03:25.027058,Vendor_10,ItemList,POList,1
INV-100135,PO-200135,390.88,0.06,447.59,447.59,2025-08-25 04:03:25.027063,2025-09-24 04:03:25.027063,Vendor_14,ItemList,POList,1
INV-100136,PO-200136,566.91,0.08,623.94,623.94,2025-09-02 04:03:25.027068,2025-10-02 04:03:25.027068,Vendor_6,ItemList,POList,1
INV-100137,PO-200137,732.72,0.07,784.01,784.01,2025-08-24 04:03:25.027073,2025-09-23 04:03:25.027073,Vendor_15,ItemList,POList,0
INV-100138,PO-200138,427.27,0.13,502.52,502.52,2025-08-22 04:03:25.027078,2025-09-21 04:03:25.027078,Vendor_1,ItemList,POList,1
INV-100139,PO-200139,974.6,0.08,1052.57,1052.57,2025-08-25 04:03:25.027083,2025-09-24 04:03:25.027083,Vendor_9,ItemList,POList,0
INV-100140,PO-200140,966.2,0.13,1114.7,1114.7,2025-08-12 04:03:25.027088,2025-09-11 04:03:25.027088,Vendor_17,ItemList,POList,1
INV-100141,PO-200141,326.6,0.07,349.46,349.46,2025-08-05 04:03:25.027093,2025-09-04 04:03:25.027093,Vendor_6,ItemList,POList,0
INV-100142,PO-200142,547.52,0.1,628.22,628.22,2025-08-10 04:03:25.027099,2025-09-09 04:03:25.027099,Vendor_17,ItemList,POList,1
INV-100143,PO-200143,370.79,0.12,453.44,453.44,2025-08-22 04:03:25.027104,2025-09-21 04:03:25.027104,Vendor_4,ItemList,POList,1
INV-100144,PO-200144,356.36,0.12,399.12,399.12,2025-08-06 04:03:25.027109,2025-09-05 04:03:25.027109,Vendor_10,ItemList,POList,0
INV-100145,PO-200145,133.2,0.11,147.85,147.85,2025-08-12 04:03:25.027114,2025-09-11 04:03:25.027114,Vendor_17,ItemList,POList,0
INV-100146,PO-200146,648.61,0.14,739.42,739.42,2025-08-10 04:03:25.027120,2025-09-09 04:03:25.027120,Vendor_20,ItemList,POList,0
INV-100147,PO-200147,552.41,0.07,591.08,591.08,2025-08-10 04:03:25.027125,2025-09-09 04:03:25.027125,Vendor_7,ItemList,POList,0
INV-100148,PO-200148,146.33,0.1,181.19,181.19,2025-08-26 04:03:25.027130,2025-09-25 04:03:25.027130,Vendor_5,ItemList,POList,1
INV-100149,PO-200149,350.78,0.14,399.89,399.89,2025-08-29 04:03:25.027137,2025-09-28 04:03:25.027137,Vendor_12,ItemList,POList,0
INV-100150,PO-200150,917.44,0.06,978.31,978.31,2025-08-18 04:03:25.027143,2025-09-17 04:03:25.027143,Vendor_6,ItemList,POList,1
INV-100151,PO-200151,315.61,0.06,378.52,378.52,2025-09-02 04:03:25.027148,2025-10-02 04:03:25.027148,Vendor_18,ItemList,POList,1
INV-100152,PO-200152,230.41,0.07,246.54,246.54,2025-08-07 04:03:25.027153,2025-09-06 04:03:25.027153,Vendor_17,ItemList,POList,0
INV-100153,PO-200153,540.51,0.11,599.97,599.97,2025-08-22 04:03:25.027158,2025-09-21 04:03:25.027158,Vendor_1,ItemList,POList,0
INV-100154,PO-200154,987.09,0.08,1066.06,1066.06,2025-09-03 04:03:25.027164,2025-10-03 04:03:25.027164,Vendor_20,ItemList,POList,0
INV-100155,PO-200155,317.85,0.07,340.1,340.1,2025-08-09 04:03:25.027169,2025-09-08 04:03:25.027169,Vendor_11,ItemList,POList,0
INV-100156,PO-200156,704.92,0.1,775.41,775.41,2025-08-26 04:03:25.027174,2025-09-25 04:03:25.027174,Vendor_16,ItemList,POList,0
INV-100157,PO-200157,785.46,0.11,896.32,896.32,2025-08-29 04:03:25.027179,2025-09-28 04:03:25.027179,Vendor_1,ItemList,POList,1
INV-100158,PO-200158,313.87,0.07,335.84,335.84,2025-08-20 04:03:25.027184,2025-09-19 04:03:25.027184,Vendor_4,ItemList,POList,0
INV-100159,PO-200159,755.39,0.08,815.82,815.82,2025-08-29 04:03:25.027189,2025-09-28 04:03:25.027189,Vendor_12,ItemList,POList,0
INV-100160,PO-200160,431.0,0.11,478.41,478.41,2025-08-22 04:03:25.027195,2025-09-21 04:03:25.027195,Vendor_10,ItemList,POList,0
INV-100161,PO-200161,669.08,0.14,780.48,780.48,2025-08-13 04:03:25.027200,2025-09-12 04:03:25.027200,Vendor_8,ItemList,POList,1
INV-100162,PO-200162,670.18,0.12,750.6,750.6,2025-08-29 04:03:25.027205,2025-09-28 04:03:25.027205,Vendor_2,ItemList,POList,0
INV-100163,PO-200163,582.2,0.13,699.75,699.75,2025-09-02 04:03:25.027210,2025-10-02 04:03:25.027210,Vendor_8,ItemList,POList,1
INV-100164,PO-200164,181.26,0.09,197.57,197.57,2025-08-26 04:03:25.027216,2025-09-25 04:03:25.027216,Vendor_19,ItemList,POList,0
INV-100165,PO-200165,851.77,0.08,964.46,964.46,2025-08-05 04:03:25.027221,2025-09-04 04:03:25.027221,Vendor_3,ItemList,POList,1
INV-100166,PO-200166,388.7,0.1,427.57,427.57,2025-08-15 04:03:25.027226,2025-09-14 04:03:25.027226,Vendor_3,ItemList,POList,0
INV-100167,PO-200167,267.87,0.13,340.59,340.59,2025-08-12 04:03:25.027231,2025-09-11 04:03:25.027231,Vendor_16,ItemList,POList,1
INV-100168,PO-200168,136.7,0.1,150.37,150.37,2025-08-12 04:03:25.027236,2025-09-11 04:03:25.027236,Vendor_3,ItemList,POList,0
INV-100169,PO-200169,631.8,0.13,713.93,713.93,2025-08-28 04:03:25.027242,2025-09-27 04:03:25.027242,Vendor_18,ItemList,POList,0
INV-100170,PO-200170,709.81,0.15,816.28,816.28,2025-08-17 04:03:25.027251,2025-09-16 04:03:25.027251,Vendor_5,ItemList,POList,0
INV-100171,PO-200171,114.93,0.06,121.83,121.83,2025-09-02 04:03:25.027260,2025-10-02 04:03:25.027260,Vendor_5,ItemList,POList,0
INV-100172,PO-200172,560.88,0.05,588.92,588.92,2025-08-12 04:03:25.027267,2025-09-11 04:03:25.027267,Vendor_16,ItemList,POList,0
INV-100173,PO-200173,303.85,0.06,322.08,322.08,2025-08-20 04:03:25.027274,2025-09-19 04:03:25.027274,Vendor_18,ItemList,POList,0
INV-100174,PO-200174,680.66,0.09,762.86,762.86,2025-08-30 04:03:25.027279,2025-09-29 04:03:25.027279,Vendor_6,ItemList,POList,1
INV-100175,PO-200175,256.93,0.06,287.74,287.74,2025-08-25 04:03:25.027284,2025-09-24 04:03:25.027284,Vendor_9,ItemList,POList,1
INV-100176,PO-200176,721.84,0.14,859.97,859.97,2025-08-22 04:03:25.027290,2025-09-21 04:03:25.027290,Vendor_17,ItemList,POList,1
INV-100177,PO-200177,448.06,0.05,470.46,470.46,2025-08-13 04:03:25.027295,2025-09-12 04:03:25.027295,Vendor_20,ItemList,POList,0
